user_id	degree	average_degree
000009	581.0	7.9742116423832
131916	549.0	
122166	544.0	
049993	479.0	
000002	476.0	
000010	442.0	
110488	434.0	
110493	409.0	
119800	408.0	
100996	374.0	
058446	367.0	
089417	362.0	
134067	360.0	
021613	343.0	
003020	326.0	
011571	315.0	
064690	308.0	
060258	297.0	
062742	293.0	
066702	290.0	
087835	289.0	
104809	278.0	
118175	274.0	
031120	269.0	
019142	267.0	
062096	258.0	
131742	257.0	
013114	252.0	
070640	248.0	
062879	246.0	
018132	244.0	
124335	240.0	
110495	233.0	
082307	231.0	
010463	228.0	
010973	225.0	
061291	224.0	
082318	224.0	
068551	223.0	
083773	223.0	
004066	222.0	
089091	219.0	
080924	216.0	
057594	214.0	
062738	213.0	
125400	212.0	
121261	209.0	
089558	204.0	
074978	202.0	
083123	202.0	
000008	200.0	
050611	200.0	
102819	198.0	
109448	197.0	
105284	196.0	
064482	194.0	
136889	191.0	
026608	190.0	
132718	189.0	
143549	189.0	
086724	187.0	
090100	186.0	
016712	186.0	
075254	185.0	
116459	184.0	
068370	184.0	
081832	182.0	
076914	181.0	
000001	180.0	
110463	179.0	
127594	178.0	
135448	173.0	
127586	173.0	
054695	173.0	
007648	171.0	
000805	169.0	
089413	169.0	
137346	168.0	
006144	167.0	
134562	167.0	
032565	166.0	
096966	166.0	
078074	165.0	
110648	165.0	
128156	163.0	
080194	163.0	
049996	162.0	
118178	162.0	
087057	161.0	
120461	159.0	
120164	159.0	
136490	159.0	
089803	159.0	
114562	158.0	
068406	158.0	
104523	155.0	
085501	155.0	
051948	155.0	
029625	155.0	
102632	154.0	
143530	154.0	
083055	154.0	
124155	153.0	
141576	152.0	
089403	151.0	
083918	150.0	
061812	149.0	
074250	149.0	
083044	147.0	
128053	147.0	
067285	146.0	
016565	145.0	
134606	145.0	
127376	145.0	
000785	144.0	
029619	143.0	
085245	143.0	
063822	142.0	
016458	142.0	
129280	141.0	
120389	141.0	
117905	140.0	
036306	139.0	
000020	139.0	
089351	139.0	
053467	137.0	
100853	137.0	
090517	137.0	
092115	136.0	
047899	136.0	
046096	135.0	
076260	135.0	
122646	134.0	
121248	134.0	
073404	133.0	
102804	133.0	
061637	133.0	
028873	133.0	
083074	132.0	
056602	132.0	
114962	131.0	
064345	131.0	
089092	131.0	
132354	129.0	
127634	129.0	
080196	129.0	
143981	129.0	
145133	129.0	
019648	127.0	
031500	127.0	
029577	127.0	
083217	126.0	
066098	126.0	
043188	125.0	
083619	125.0	
060879	125.0	
059251	124.0	
003717	124.0	
057227	124.0	
125068	124.0	
012565	123.0	
051928	123.0	
083624	123.0	
077884	122.0	
029603	122.0	
053375	121.0	
058834	121.0	
008741	120.0	
059283	120.0	
082332	120.0	
027184	119.0	
086826	119.0	
089401	119.0	
107572	119.0	
029578	118.0	
132442	118.0	
086025	118.0	
070591	117.0	
114782	117.0	
083137	117.0	
028874	117.0	
142188	116.0	
123514	116.0	
008200	116.0	
029585	115.0	
029714	115.0	
120437	114.0	
106864	114.0	
089957	114.0	
005041	114.0	
006593	113.0	
018119	113.0	
013344	113.0	
083623	113.0	
028880	113.0	
023813	113.0	
011435	112.0	
114139	111.0	
128009	111.0	
029559	111.0	
124440	111.0	
139640	111.0	
128364	111.0	
114160	110.0	
071712	110.0	
123803	110.0	
080971	110.0	
146085	109.0	
088705	109.0	
112827	108.0	
018525	108.0	
082275	108.0	
091791	108.0	
099617	106.0	
116626	105.0	
085143	105.0	
135457	105.0	
101327	105.0	
101677	105.0	
090033	105.0	
091540	104.0	
124070	104.0	
123641	104.0	
083621	104.0	
089093	103.0	
098889	103.0	
022396	103.0	
089370	102.0	
074662	102.0	
033697	102.0	
132450	102.0	
090830	102.0	
090299	102.0	
083757	100.0	
115679	100.0	
064726	100.0	
114524	100.0	
143658	100.0	
128739	99.0	
110492	98.0	
132142	98.0	
137071	98.0	
089394	98.0	
046703	98.0	
091584	98.0	
080973	98.0	
000013	98.0	
011063	98.0	
132461	97.0	
000012	97.0	
033373	97.0	
090032	97.0	
110496	96.0	
000004	96.0	
025052	96.0	
054526	96.0	
141076	95.0	
009649	95.0	
074833	95.0	
083047	95.0	
001347	94.0	
105703	94.0	
083233	94.0	
100945	94.0	
068087	93.0	
089392	93.0	
125407	93.0	
053381	93.0	
142437	93.0	
129739	93.0	
087987	93.0	
085258	92.0	
116645	92.0	
137710	91.0	
128634	91.0	
098622	91.0	
089968	91.0	
133279	91.0	
070647	91.0	
081116	91.0	
087911	90.0	
078365	90.0	
124956	90.0	
083618	90.0	
071709	90.0	
124394	89.0	
137607	89.0	
111234	89.0	
122523	89.0	
085996	89.0	
080651	89.0	
064479	89.0	
116827	88.0	
128733	88.0	
143671	88.0	
002393	88.0	
112354	88.0	
062847	88.0	
061914	88.0	
035745	87.0	
005590	87.0	
118501	87.0	
138622	86.0	
084949	86.0	
128170	86.0	
019646	86.0	
120429	86.0	
082552	86.0	
001373	86.0	
089549	85.0	
009706	85.0	
132445	85.0	
097692	85.0	
142072	85.0	
132459	85.0	
091786	85.0	
071705	84.0	
120233	84.0	
000071	84.0	
089405	83.0	
049995	83.0	
027804	83.0	
016514	83.0	
072224	83.0	
120432	82.0	
052649	82.0	
029403	82.0	
052389	82.0	
052661	82.0	
139830	82.0	
131796	82.0	
052748	82.0	
103249	82.0	
109177	81.0	
125498	81.0	
117873	81.0	
090642	81.0	
029608	80.0	
113050	80.0	
087461	80.0	
087026	80.0	
072223	80.0	
052832	80.0	
059173	80.0	
062986	80.0	
126988	80.0	
057407	80.0	
079300	79.0	
137366	79.0	
111260	79.0	
065250	79.0	
132053	79.0	
054211	79.0	
070923	79.0	
111488	78.0	
029618	77.0	
116176	77.0	
079281	77.0	
095038	77.0	
007872	77.0	
062925	77.0	
074874	77.0	
071832	77.0	
127882	77.0	
080203	77.0	
072222	77.0	
090673	77.0	
134738	77.0	
083934	76.0	
